#K-Path(1/A) Energy-Level(eV)
# NKPTS & NBANDS: 140  68
# Band-Index    1
   0.00000    -13.422076
   0.04179    -13.419410
   0.08358    -13.411431
   0.12537    -13.398268
   0.16716    -13.380146
   0.20895    -13.357384
   0.25073    -13.330369
   0.29252    -13.299565
   0.33431    -13.265545
   0.37610    -13.228948
   0.41789    -13.190501
   0.45968    -13.151008
   0.50147    -13.111363
   0.54326    -13.072556
   0.58505    -13.035726
   0.62684    -13.002208
   0.66862    -12.973576
   0.71041    -12.951599
   0.75220    -12.937852
   0.79399    -12.933203
   0.79399    -13.188571
   0.81848    -13.193373
   0.84296    -13.205839
   0.86744    -13.222612
   0.89193    -13.241365
   0.91641    -13.260805
   0.94090    -13.280201
   0.96538    -13.299103
   0.98986    -13.317209
   1.01435    -13.334288
   1.03883    -13.350166
   1.06332    -13.364699
   1.08780    -13.377777
   1.11228    -13.389300
   1.13677    -13.399185
   1.16125    -13.407362
   1.18574    -13.413774
   1.21022    -13.418382
   1.23470    -13.421155
   1.25919    -13.422076
   1.25919    -13.422076
   1.28051    -13.421399
   1.30182    -13.419360
   1.32314    -13.415967
   1.34446    -13.411238
   1.36577    -13.405197
   1.38709    -13.397875
   1.40841    -13.389312
   1.42973    -13.379558
   1.45104    -13.368667
   1.47236    -13.356708
   1.49368    -13.343753
   1.51499    -13.329896
   1.53631    -13.315258
   1.55763    -13.300003
   1.57895    -13.284379
   1.60026    -13.268799
   1.62158    -13.254105
   1.64290    -13.242258
   1.66421    -13.237287
   1.66421    -12.910493
   1.71099    -12.913137
   1.75777    -12.921275
   1.80454    -12.935500
   1.85132    -12.956512
   1.89809    -12.984450
   1.94487    -13.018527
   1.99164    -13.057357
   2.03842    -13.099358
   2.08519    -13.143007
   2.13197    -13.186903
   2.17874    -13.229763
   2.22552    -13.270422
   2.27229    -13.307831
   2.31907    -13.341071
   2.36584    -13.369351
   2.41262    -13.392038
   2.45939    -13.408614
   2.50617    -13.418699
   2.55294    -13.422076
   2.55294    -13.422076
   2.58520    -13.420477
   2.61745    -13.415678
   2.64971    -13.407729
   2.68197    -13.396715
   2.71422    -13.382762
   2.74648    -13.366027
   2.77873    -13.346709
   2.81099    -13.325034
   2.84325    -13.301285
   2.87550    -13.275812
   2.90776    -13.249027
   2.94002    -13.221459
   2.97227    -13.193798
   3.00453    -13.166975
   3.03678    -13.142293
   3.06904    -13.121410
   3.10130    -13.105963
   3.13355    -13.096796
   3.16581    -13.093810
   3.16581    -12.935734
   3.20623    -12.942069
   3.24666    -12.959639
   3.28708    -12.985474
   3.32751    -13.016894
   3.36793    -13.051968
   3.40836    -13.089279
   3.44878    -13.127721
