    0.000000     -7.712130
    0.793992     -7.712130
    0.793992     15.084095
    0.793992     -7.712130
    1.259189     -7.712130
    1.259189     15.084095
    1.259189     -7.712130
    1.664215     -7.712130
    1.664215     15.084095
    1.664215     -7.712130
    2.552941     -7.712130
    2.552941     15.084095
    2.552941     -7.712130
    3.165810     -7.712130
    3.165810     15.084095
    3.165810     -7.712130
    3.933881     -7.712130
    3.933881     15.084095
    3.933881     -7.712130
    4.860431     -7.712130
    4.860431     15.084095
    0.000000     15.084095
    0.000000     -7.712130
    0.000000      0.000000
    4.860431      0.000000
